,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient
490,2,1.0203691163057624,0.28,0.0,2.1,8.724305042594121,9.448435204986719,6.481143205314053,5255.245657311491,3.835098310778972,2.0187908174464853,0.9798168036280153,48.08900956578361,811.1951099260916,0.0011795252738616765,0.0005207735927431623
491,2,1.1116978694410429,0.28,0.0,2.1,5.878305750109638,8.083494666995204,4.792621595891778,5899.988915186271,3.956747065166133,1.8331121617557968,0.9265134751000151,58.469741656399975,1013.082915451212,0.0016090993299879418,0.0034276215814001976
492,2,1.062940554180625,0.28,0.0,2.1,7.5161287381232675,9.5138991000579,5.3949369751138825,5234.8104542482,3.7968163209456365,2.153178810814144,0.9844446846082615,44.48174626086941,744.1994840819488,0.001327174218177936,0.0006307421744846664
493,2,0.9555987440125916,0.28,0.0,2.1,11.133925075897519,9.506308584740903,8.624572596212923,5168.811135084924,3.8466225934048612,1.9280012886531244,0.976033991574135,49.823282106171426,839.9448773829944,0.0016304231585127264,0.0006845782182038906
494,2,0.9867619304717352,0.28,0.0,2.1,9.335891066662123,8.364850316775488,7.519578530552136,5705.435185242863,4.027995048705907,1.5905739390158873,0.9398246472462081,68.0551990836031,1213.8756085721773,0.001563181669865673,0.002878093411521787
495,2,1.0961619189655636,0.28,0.0,2.1,6.7200213361855194,9.63536187374113,5.002156483450218,5175.990959909889,3.745030171538936,2.3213640467454884,0.9865690779308746,40.245613672805966,664.2888167002371,0.0014323268450597984,0.0007459750844167612
496,2,0.9389688274271324,0.28,0.0,2.1,10.547872055355796,7.400431055168948,9.28993205272908,5739.004028190658,4.152558986809799,1.3447888309919998,0.9138491076167804,85.05859079698232,1612.3682818219213,0.0007387133761735557,0.002738054742815632
497,2,0.8696867123182173,0.28,0.0,2.1,14.77722534269616,8.410627124211798,12.678265711502357,5525.803239086954,4.1165181951090855,1.34873818417539,0.9253894680100434,81.69047824916194,1512.3210981666114,0.001072197430493958,0.0019484261820137405
498,1,1.1192522509965348,0.28,0.0,2.1,3.9152094916751534,4.168035938685312,4.700809588250653,6123.759869357627,4.215886809845865,1.3660457989431338,0.8355184777332852,89.9399388514826,1805.931435897789,0.0005472594959378363,0.00443576657242839
499,2,0.931790710764543,0.28,0.0,2.1,11.640171832114135,8.568826909144938,9.565606337475344,5593.051227948398,4.0490149818893935,1.508685751923336,0.9392283919523705,71.56028811335653,1286.8090527247682,0.0015907964946583523,0.0023412626611943876
